make,model,yom,transmission,fuel_type,engine_capacity,mileage,price
SUZUKI,ALTO,2023,AUTOMATIC,PETROL,650,5800,7325000
SUZUKI,ALTO,2005,MANUAL,PETROL,800,153487,2675000
SUZUKI,SWIFT CENTER ANTERNNA,2004,AUTOMATIC,PETROL,1320,190000,4500000
SUZUKI,WAGON R STINGRAY,2017,AUTOMATIC,PETROL,650,52495,7650000
SUZUKI,ZEN,2005,MANUAL,PETROL,1000,137724,2595000
SUZUKI,WAGON R,2023,AUTOMATIC,PETROL,650,10000,7950000
SUZUKI,EVERY,2001,MANUAL,PETROL,650,165238,3400000
SUZUKI,EVERY PC LIMITED,2024,AUTOMATIC,PETROL,660,12000,8550000
SUZUKI,EVERY,2015,AUTOMATIC,PETROL,650,106000,6150000
SUZUKI,EVERY DA64V,2014,AUTOMATIC,PETROL,660,97000,5760000
SUZUKI,EVERY,2000,AUTOMATIC,PETROL,650,125000,3450000
SUZUKI,EVERY,2007,AUTOMATIC,PETROL,650,119000,5350000
SUZUKI,EVERY,2023,AUTOMATIC,PETROL,658,15300,9700000
SUZUKI,EVERY,2024,AUTOMATIC,PETROL,650,1000,8100000
SUZUKI,EVERY SEMI JOIN,2013,AUTOMATIC,PETROL,650,99000,6250000
SUZUKI,EVERY,2016,AUTOMATIC,PETROL,660,84000,6350000
SUZUKI,VITARA,1996,MANUAL,PETROL,1600,125000,2450000
SUZUKI,GYPSY,1993,MANUAL,PETROL,1000,-,1675000
MICRO,MX7,2010,MANUAL,PETROL,1498,160000,3050000
MICRO,REXTON XVT POWER UP,2008,AUTOMATIC,DIESEL,2700,195000,8000000
MICRO,KYRON,2008,AUTOMATIC,DIESEL,2000,249730,5635000
MICRO,ALMAZ,2023,AUTOMATIC,PETROL,1500,26000,15900000
MICRO,TIVOLI,2016,AUTOMATIC,DIESEL,1600,41000,8700000
MICRO,TIVOLI,2018,AUTOMATIC,PETROL,1600,124000,8495000
MICRO,SSANGYONG KYRON,2008,AUTOMATIC,DIESEL,2000,170000,5675000
MICRO,ALMAZ,2023,AUTOMATIC,PETROL,1500,23500,15500000
MICRO,REXTON,2014,AUTOMATIC,DIESEL,2700,173000,14500000
MITSUBISHI,LANCER,1976,MANUAL,PETROL,1400,-,525000
MITSUBISHI,LANCER L LIGHT,1979,MANUAL,PETROL,1400,186754,1500000
MITSUBISHI,LANCER BOX,1981,MANUAL,PETROL,1400,-,1050000
MITSUBISHI,LANCER,1986,MANUAL,PETROL,1500,-,1375000
MITSUBISHI,LANCER WAGON,1983,MANUAL,PETROL,1400,180000,475000
MITSUBISHI,COLT,2005,AUTOMATIC,PETROL,1460,141526,4375000
MITSUBISHI,LANCER BOX,1980,MANUAL,PETROL,1400,-,870000
MITSUBISHI,LANCER,1983,MANUAL,PETROL,1400,68523,745000
MITSUBISHI,LANCER CS1,2008,MANUAL,PETROL,1300,180000,6590000
MITSUBISHI,LANCER,1979,MANUAL,PETROL,1400,540000,1275000
MITSUBISHI,LANCER BOX,1982,MANUAL,PETROL,1200,123456,1060000
MITSUBISHI,GALANT,1982,MANUAL,PETROL,1600,210000,1080000
MITSUBISHI,C11,1985,MANUAL,PETROL,1300,-,695000
MITSUBISHI,DELICA T120,1979,MANUAL,PETROL,1400,-,785000
MITSUBISHI,MINICAB,2000,MANUAL,PETROL,650,-,3150000
MITSUBISHI,MINICAB,2014,AUTOMATIC,PETROL,650,83000,5700000
MITSUBISHI,DELICA L300,1983,MANUAL,DIESEL,1830,300000,1450000
MITSUBISHI,DELICA L300,1982,MANUAL,PETROL,1400,12345,1225000
MITSUBISHI,L300,1982,MANUAL,DIESEL,2500,777777,1175000
MITSUBISHI,MONTERO SPORT,2011,AUTOMATIC,DIESEL,2500,180000,15200000
MITSUBISHI,PAJERO,1988,MANUAL,DIESEL,1500,219000,5675000
MITSUBISHI,MONTERO,2000,AUTOMATIC,DIESEL,3200,200000,13200000
MITSUBISHI,V6,2003,AUTOMATIC,PETROL,3500,140000,13800000
MITSUBISHI,PAJERO,1985,MANUAL,DIESEL,11111,11111,7000000
MITSUBISHI,PAJERO INTERCOOLER 2.8,1996,AUTOMATIC,DIESEL,2800,185000,9750000
MITSUBISHI,MONTERO,2014,AUTOMATIC,DIESEL,2800,104000,29000000
MITSUBISHI,MONTERO GLS,2015,AUTOMATIC,DIESEL,3200,108300,33500000
